#Nodes with GAIN events
B983: 1
N13: 1
FGA489: 1
N52: 1
N56: 1
C2208: 1
N68: 1
Tribit: 1
Braset: 1
Total number of gain events: 9
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
BGA309: 1
Rhatem: 3
F3015: 1
Furcep: 1
Furpol: 1
FGA99: 1
FGA174: 1
CGA310: 1
CGA48: 1
C3126: 1
CGA364: 1
Kinfis: 1
N78: 1
Chacha: 1
Chacaly: 1
N82: 1
Chadil: 2
N83: 2
Bradam: 1
Total number of loss events: 24
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Rhaspe: 1
N45: 1
C984: 1
Total number of demi-dulications events: 3
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	0	0	0	0
BGA309	0	1	0	0	0
B11696	0	0	0	0	0
B11609	0	0	0	0	0
B983	1	0	0	0	0
B11604	0	0	0	0	0
BGAA1	0	0	0	0	0
BGA584	0	0	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	0	0	0	0	0
Rhaspe	1	0	0	1	0
Rhamar	1	0	0	0	0
Rhatem	1	3	0	0	0
FGA379	1	0	0	0	0
F3015	1	1	0	0	0
F1476	1	0	0	0	0
Furcep	1	1	0	0	0
Furpol	1	1	0	0	0
F2241	1	0	0	0	0
Furang	1	0	0	0	0
FGA490	1	0	0	0	0
FGA456	1	0	0	0	0
FGA513	1	0	0	0	0
F12278	1	0	0	0	0
Furant	1	0	0	0	0
FGA331	1	0	0	0	0
FGA465	1	0	0	0	0
FGA99	1	1	0	0	0
FGA15	1	0	0	0	0
FGA581	1	0	0	0	0
FGA104	1	0	0	0	0
FGA489	2	0	0	0	0
FGA174	1	1	0	0	0
FurbGB	1	0	0	0	0
CGA312	1	0	0	0	0
CGA642	1	0	0	0	0
CGA763	1	0	0	1	0
C601	1	0	0	1	0
CGA236	1	0	0	0	0
Calboe	1	0	0	0	0
C3125	1	0	0	0	0
CGA429	1	0	0	0	0
C984	1	0	0	1	0
CGA310	1	1	0	0	0
CGA365	1	0	0	0	0
CGA494	1	0	0	0	0
C12265	2	0	0	0	0
C404	2	0	0	0	0
Cl11778	2	0	0	0	0
CGA48	2	1	0	0	0
C3126	2	1	0	0	0
CGA311	2	0	0	0	0
CGA45	2	0	0	0	0
C3043	2	0	0	0	0
CGA364	2	1	0	0	0
C2208	3	0	0	0	0
CGA453	1	0	0	0	0
CGA501	1	0	0	0	0
C3121	1	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	2	0	0	0	0
Trijoh	2	0	0	0	0
Trimel	2	0	0	0	0
Trihoe	1	0	0	0	0
Tribit	2	0	0	0	0
Trijac	1	0	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	1	0	0	0	0
Kinfis	1	1	0	0	0
Kinxen	1	0	0	0	0
Chaafr	1	1	0	0	0
Chacha	1	2	0	0	0
Chacaly	1	2	0	0	0
Chazey	1	1	0	0	0
Chadil	1	4	0	0	0
Chasen	1	2	0	0	0
Chanam	1	0	0	0	0
Braset	2	2	0	0	0
Bramel	1	2	0	0	0
Bratha	1	2	0	0	0
Bradra	1	2	0	0	0
Bratra	1	2	0	0	0
Bragut	1	2	0	0	0
Braven	1	2	0	0	0
Brapum	1	2	0	0	0
Bradam	1	3	0	0	0
