#Nodes with GAIN events
BGA309: 1
B983: 1
F3015: 1
CGA365: 1
N63: 1
N64: 1
Triowe: 1
N75: 1
N77: 1
Total number of gain events: 9
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N2: 1
N6: 1
B983: 1
BGA303: 2
PGA445: 1
Rhamar: 1
F3015: 1
Furcep: 2
N36: 1
FGA489: 1
Calboe: 2
CGA310: 1
N51: 1
N56: 1
N65: 1
Trijac: 1
Chacha: 1
Chadil: 1
Chasen: 1
Total number of loss events: 22
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
FGA379: 1
Furcep: 1
FGA490: 1
FGA174: 1
C601: 1
Calboe: 1
C404: 1
Chasen: 1
Total number of demi-dulications events: 8
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	1	0	0	0
BGA309	1	1	0	0	0
B11696	0	2	0	0	0
B11609	0	2	0	0	0
B983	1	3	0	0	0
B11604	0	2	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA303	0	4	0	0	0
BGAB1	0	2	0	0	0
PGA445	0	2	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	0	1	0	0	0
Rhatem	0	0	0	0	0
FGA379	0	0	0	1	0
F3015	1	1	0	0	0
F1476	0	0	0	0	0
Furcep	0	2	0	1	0
Furpol	0	0	0	0	0
F2241	0	0	0	0	0
Furang	0	0	0	0	0
FGA490	0	0	0	1	0
FGA456	0	0	0	0	0
FGA513	0	0	0	0	0
F12278	0	0	0	0	0
Furant	0	0	0	0	0
FGA331	0	0	0	0	0
FGA465	0	0	0	0	0
FGA99	0	1	0	0	0
FGA15	0	1	0	0	0
FGA581	0	1	0	0	0
FGA104	0	0	0	0	0
FGA489	0	1	0	0	0
FGA174	0	0	0	1	0
FurbGB	0	0	0	0	0
CGA312	0	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	1	0
CGA236	0	0	0	0	0
Calboe	0	2	0	1	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	1	0	0	0
CGA365	1	1	0	0	0
CGA494	0	1	0	0	0
C12265	0	0	0	0	0
C404	0	0	0	1	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	0	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	1	0	0	0
CGA364	0	1	0	0	0
C2208	0	1	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	1	0	0	0	0
C3118	1	0	0	0	0
Triowe	2	1	0	0	0
Trijoh	1	1	0	0	0
Trimel	1	1	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	1	2	0	0	0
Tricri	1	1	0	0	0
Triwie	1	1	0	0	0
Triqua	1	1	0	0	0
Kinboe	2	1	0	0	0
Kinfis	2	1	0	0	0
Kinxen	1	1	0	0	0
Chaafr	2	0	0	0	0
Chacha	2	1	0	0	0
Chacaly	2	0	0	0	0
Chazey	2	0	0	0	0
Chadil	2	1	0	0	0
Chasen	2	1	0	1	0
Chanam	2	0	0	0	0
Braset	1	0	0	0	0
Bramel	1	0	0	0	0
Bratha	1	0	0	0	0
Bradra	1	0	0	0	0
Bratra	1	0	0	0	0
Bragut	1	0	0	0	0
Braven	1	0	0	0	0
Brapum	1	0	0	0	0
Bradam	1	0	0	0	0
